Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
53,"[{u'name': u'Gemma Arterton', u'characters': [u'Gretel'], u'id': u'770692644'}, {u'name': u'Jeremy Renner', u'characters': [u'Hansel'], u'id': u'309973652'}, {u'name': u'Famke Janssen', u'characters': [u'Muriel'], u'id': u'162669246'}, {u'name': u'Peter Stormare', u'characters': [u'Berringer'], u'id': u'162725032'}, {u'name': u'Ingrid Bolso Berdal', u'characters': [u'Horned Witch'], u'id': u'771616959'}]",15,[{u'name': u'Tommy Wirkola'}],"[Action & Adventure, Comedy]",771225176,Hansel and Gretel: Witch Hunters,2013-01-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771225176/reviews.json,1428538,http://www.rottentomatoes.com/m/hansel_and_gretel_witch_hunters/
56,"[{u'name': u'Jessica Chastain', u'characters': [u'Annabel'], u'id': u'770760183'}, {u'name': u'Nikolaj Coster-Waldau', u'characters': [u'Lucas/Jeffrey'], u'id': u'559808757'}, {u'name': u'Megan Charpentier', u'characters': [u'Victoria'], u'id': u'770834162'}, {u'name': u'Isabelle Nelisse', u'characters': [u'Lilly'], u'id': u'771416699'}, {u'name': u'Daniel Kash', u'characters': [u'Dr. Dreyfuss'], u'id': u'770695154'}]",65,"[{u'name': u'Andres Muschietti'}, {u'name': u'Andr&#233;s Muschietti'}]","[Art House & International, Horror]",771313372,Mama,2013-01-18,http://api.rottentomatoes.com/api/public/v1.0/movies/771313372/reviews.json,2023587,http://www.rottentomatoes.com/m/mama_2013/
73,"[{u'name': u'Nicholas Hoult', u'characters': [u'R'], u'id': u'162654938'}, {u'name': u'Teresa Palmer', u'characters': [u'Julie'], u'id': u'347990464'}, {u'name': u'Rob Corddry', u'characters': [u'M'], u'id': u'312208850'}, {u'name': u'John Malkovich', u'characters': [u'Grigio'], u'id': u'162655610'}, {u'name': u'Dave Franco', u'characters': [u'Perry'], u'id': u'770703179'}]",80,[{u'name': u'Jonathan Levine'}],[Comedy],771238285,Warm Bodies,2013-02-01,http://api.rottentomatoes.com/api/public/v1.0/movies/771238285/reviews.json,1588173,http://www.rottentomatoes.com/m/warm_bodies/
57,"[{u'name': u'Ryan Gosling', u'characters': [u'Sgt. Jerry Wooters'], u'id': u'162654751'}, {u'name': u'Josh Brolin', u'characters': [u'Sgt. John O'Mara'], u'id': u'162654237'}, {u'name': u'Nick Nolte', u'characters': [u'Chief Parker'], u'id': u'162667604'}, {u'name': u'Sean Penn', u'characters': [u'Mickey Cohen'], u'id': u'162652280'}, {u'name': u'Michael Pena', u'characters': [u'Officer Navidad Ramirez'], u'id': u'309887156'}]",32,[{u'name': u'Ruben Fleischer'}],[Drama],771256131,Gangster Squad,2013-01-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771256131/reviews.json,1321870,http://www.rottentomatoes.com/m/gangster_squad_2012/
52,"[{u'name': u'Marlon Wayans', u'characters': [u'Malcolm'], u'id': u'162682781'}, {u'name': u'Essence Atkins', u'characters': [u'Kisha'], u'id': u'162711817'}, {u'name': u'Cedric the Entertainer', u'characters': [u'Father Williams'], u'id': u'162652530'}, {u'name': u'Nick Swardson', u'characters': [u'Chip the Psychic'], u'id': u'364597466'}, {u'name': u'David Koechner', u'characters': [u'Dan the Security Man'], u'id': u'162654117'}]",10,[{u'name': u'Michael Tiddes'}],[Comedy],771316451,A Haunted House,2013-01-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771316451/reviews.json,2243537,http://www.rottentomatoes.com/m/a_haunted_house/
42,"[{u'name': u'Alexandra Daddario', u'characters': [u'Heather Miller'], u'id': u'770777867'}, {u'name': u'Dan Yeager', u'characters': [u'Leatherface'], u'id': u'771376161'}, {u'name': u'Trey Songz', u'characters': [u'Ryan'], u'id': u'770823450'}, {u'name': u'Tremaine 'Trey Songz' Neverson', u'characters': [u'Ryan'], u'id': u'771418722'}, {u'name': u'Scott Eastwood', u'characters': [u'Carl'], u'id': u'770839379'}]",19,[{u'name': u'John Luessenhop'}],[Horror],771247162,Texas Chainsaw,2013-01-04,http://api.rottentomatoes.com/api/public/v1.0/movies/771247162/reviews.json,1928299,http://www.rottentomatoes.com/m/texas_chainsaw/
24,"[{u'name': u'Johnny Knoxville', u'characters': [u'Pete'], u'id': u'162652591'}, {u'name': u'Gerard Butler', u'characters': [u'Chaun'], u'id': u'162659102'}, {u'name': u'Anna Faris', u'characters': [u'Vanessa'], u'id': u'162654477'}, {u'name': u'Seann William Scott', u'characters': [u'Brian'], u'id': u'162652909'}, {u'name': u'Hugh Jackman', u'characters': [u'Davis'], u'id': u'162661503'}]",4,"[{u'name': u'Elizabeth Banks'}, {u'name': u'Bob Odenkirk'}]",[Comedy],771223474,Movie 43,2013-01-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771223474/reviews.json,1333125,http://www.rottentomatoes.com/m/movie_43/
40,"[{u'name': u'Sylvester Stallone', u'characters': [u'James Bonomo'], u'id': u'162664630'}, {u'name': u'Sung Kang', u'characters': [u'Taylor Kwon'], u'id': u'162707419'}, {u'name': u'Sarah Shahi', u'characters': [u'Lisa Bonomo'], u'id': u'770780020'}, {u'name': u'Adewale Akinnuoye-Agbaje', u'characters': [u'Robert Nkomo Morel'], u'id': u'405589153'}, {u'name': u'Jason Momoa', u'characters': [u'Keegan'], u'id': u'448571481'}]",46,[{u'name': u'Walter Hill'}],"[Mystery & Suspense, Action & Adventure]",771252547,Bullet to the Head,2013-02-01,http://api.rottentomatoes.com/api/public/v1.0/movies/771252547/reviews.json,1308729,http://www.rottentomatoes.com/m/bullet_to_the_head/
41,"[{u'name': u'Mark Wahlberg', u'characters': [u'Billy Taggart'], u'id': u'162653181'}, {u'name': u'Russell Crowe', u'characters': [u'Mayor Nicolas Hostetler'], u'id': u'162652569'}, {u'name': u'Catherine Zeta-Jones', u'characters': [u'Cathleen Hostetler'], u'id': u'162654886'}, {u'name': u'Jeffrey Wright', u'characters': [u'Commissioner Colin Fairbanks'], u'id': u'162653065'}, {u'name': u'Barry Pepper', u'characters': [u'Jack Valliant'], u'id': u'162671262'}]",28,[{u'name': u'Allen Hughes'}],[Drama],771251147,Broken City,2013-01-18,http://api.rottentomatoes.com/api/public/v1.0/movies/771251147/reviews.json,1235522,http://www.rottentomatoes.com/m/broken_city/
58,"[{u'name': u'Tony Leung Chiu Wai', u'characters': [u'Ip Man'], u'id': u'162659335'}, {u'name': u'Ziyi Zhang', u'characters': [u'Gong Er'], u'id': u'326392180'}, {u'name': u'Chen Chang', u'characters': [u'The Razor'], u'id': u'202626437'}, {u'name': u'Zhao Benshan', u'characters': [u'Ding Lianshan'], u'id': u'770671828'}, {u'name': u'Xiao Shen-Yang', u'characters': [u'San Jiang Shui'], u'id': u'770869370'}]",75,"[{u'name': u'Kar Wai Wong'}, {u'name': u'Kar-Wai Wong'}]","[Drama, Action & Adventure, Art House & International, Special Interest]",771323481,The Grandmaster,2013-08-23,http://api.rottentomatoes.com/api/public/v1.0/movies/771323481/reviews.json,1462900,http://www.rottentomatoes.com/m/the_grandmaster/
43,"[{u'name': u'Dave St-Pierre', u'id': u'771396526'}]",-1,[{u'name': u'Brigitte Poupart'}],[Documentary],771270195,Over My Dead Body,2012-05-17,http://api.rottentomatoes.com/api/public/v1.0/movies/771270195/reviews.json,2296895,http://www.rottentomatoes.com/m/over_my_dead_body_2012/
21,"[{u'name': u'Alison Janney', u'id': u'771495090'}, {u'name': u'Rosemarie DeWitt', u'characters': [u'Abby'], u'id': u'356196984'}, {u'name': u'Josh Pais', u'characters': [u'Paul'], u'id': u'364623049'}, {u'name': u'Ellen Page', u'characters': [u'Jenny'], u'id': u'326392013'}, {u'name': u'Scoot McNairy', u'characters': [u'Jesse'], u'id': u'770681905'}]",36,[{u'name': u'Lynn Shelton'}],[Drama],771325063,Touchy Feely,2013-09-06,http://api.rottentomatoes.com/api/public/v1.0/movies/771325063/reviews.json,2364949,http://www.rottentomatoes.com/m/touchy_feely_2013/
43,"[{u'name': u'Guy Pearce', u'characters': [u'Keith Reynolds'], u'id': u'162660324'}, {u'name': u'Felicity Jones', u'characters': [u'Sophie'], u'id': u'770696159'}, {u'name': u'Amy Ryan', u'characters': [u'Megan Reynolds'], u'id': u'162653858'}, {u'name': u'Mackenzie Davis', u'characters': [u'Lauren Reynolds'], u'id': u'771423798'}, {u'name': u'Alexandra Wentworth', u'characters': [u'Wendy Sebeck'], u'id': u'770681841'}]",55,[{u'name': u'Drake Doremus'}],"[Drama, Romance]",771323902,Breathe In,2014-03-28,http://api.rottentomatoes.com/api/public/v1.0/movies/771323902/reviews.json,1999987,http://www.rottentomatoes.com/m/breathe_in/
34,"[{u'name': u'Dakota Fanning', u'characters': [u'Lilly Berger'], u'id': u'162652764'}, {u'name': u'Elizabeth Olsen', u'characters': [u'Gerri Field'], u'id': u'770827678'}, {u'name': u'Robert Boyd Holbrook', u'characters': [u'David Avery'], u'id': u'771061616'}, {u'name': u'Demi Moore', u'characters': [u'Kate Field'], u'id': u'162660862'}, {u'name': u'Richard Dreyfuss', u'characters': [u'Danny Field'], u'id': u'162661009'}]",19,[{u'name': u'Naomi Foner'}],[Drama],771324098,Very Good Girls,2014-07-25,http://api.rottentomatoes.com/api/public/v1.0/movies/771324098/reviews.json,1931602,http://www.rottentomatoes.com/m/very_good_girls/
46,"[{u'name': u'Forest Whitaker', u'characters': [u'Angel'], u'id': u'162662640'}, {u'name': u'Anthony Mackie', u'characters': [u'Tommy'], u'id': u'162653786'}, {u'name': u'Mike Epps', u'characters': [u'Ben'], u'id': u'162654099'}, {u'name': u'Sanaa Lathan', u'characters': [u'Maggie'], u'id': u'162660192'}, {u'name': u'Nicole Ari Parker', u'characters': [u'Sophie'], u'id': u'162685879'}]",-1,[{u'name': u'Philippe Caland'}],"[Mystery & Suspense, Horror]",771363113,Repentance,2014-02-28,http://api.rottentomatoes.com/api/public/v1.0/movies/771363113/reviews.json,2012665,http://www.rottentomatoes.com/m/repentance_2014/
65,"[{u'name': u'Dominic Bogart', u'characters': [u'Brook'], u'id': u'467104387'}, {u'name': u'Alvaro Orlando', u'characters': [u'Clarke'], u'id': u'770834392'}, {u'name': u'Brad William Henke', u'characters': [u'Bradley Haines'], u'id': u'395113791'}, {u'name': u'Tammy Minoff', u'characters': [u'Joy'], u'id': u'771393338'}, {u'name': u'Kandis Erickson', u'characters': [u'Merrily'], u'id': u'770698226'}]",60,"[{u'name': u'Destin Cretton'}, {u'name': u'Destin Daniel Cretton'}]","[Musical & Performing Arts, Drama]",771267254,I Am Not A Hipster,2013-01-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771267254/reviews.json,2091318,http://www.rottentomatoes.com/m/i_am_not_a_hipster_2012/
