Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
93,"[{u'name': u'Russell Crowe', u'characters': [u'John Nash'], u'id': u'162652569'}, {u'name': u'Jennifer Connelly', u'characters': [u'Alicia Nash'], u'id': u'162652853'}, {u'name': u'Ed Harris', u'characters': [u'Parcher'], u'id': u'162654543'}, {u'name': u'Christopher Plummer', u'characters': [u'Dr. Rosen'], u'id': u'162652929'}, {u'name': u'Paul Bettany', u'characters': [u'Charles'], u'id': u'162660360'}]",75,[{u'name': u'Ron Howard'}],[Drama],10240,A Beautiful Mind,2001-12-21,http://api.rottentomatoes.com/api/public/v1.0/movies/10240/reviews.json,0268978,http://www.rottentomatoes.com/m/beautiful_mind/
73,"[{u'name': u'Tom Cruise', u'characters': [u'David Aames'], u'id': u'162652763'}, {u'name': u'Penelope Cruz', u'characters': [u'Sofia Serrano'], u'id': u'162652351'}, {u'name': u'Cameron Diaz', u'characters': [u'Julie Gianni'], u'id': u'162654443'}, {u'name': u'Kurt Russell', u'characters': [u'Dr. Curtis McCabe'], u'id': u'162652945'}, {u'name': u'Jason Lee', u'characters': [u'Brian Shelby'], u'id': u'162659070'}]",41,[{u'name': u'Cameron Crowe'}],"[Drama, Mystery & Suspense, Science Fiction & Fantasy]",13077,Vanilla Sky,2001-12-14,http://api.rottentomatoes.com/api/public/v1.0/movies/13077/reviews.json,0259711,http://www.rottentomatoes.com/m/vanilla_sky/
88,"[{u'name': u'Josh Hartnett', u'characters': [u'Eversmann'], u'id': u'162666766'}, {u'name': u'Ewan McGregor', u'characters': [u'Grimes'], u'id': u'162652152'}, {u'name': u'Tom Sizemore', u'characters': [u'McKnight'], u'id': u'162695570'}, {u'name': u'Eric Bana', u'characters': [u'Hoot'], u'id': u'162662190'}, {u'name': u'Sam Shepard', u'characters': [u'Garrison'], u'id': u'162662816'}]",76,[{u'name': u'Ridley Scott'}],"[Drama, Action & Adventure]",12917,Black Hawk Down,2001-12-28,http://api.rottentomatoes.com/api/public/v1.0/movies/12917/reviews.json,0265086,http://www.rottentomatoes.com/m/black_hawk_down/
65,"[{u'name': u'Will Smith', u'characters': [u'Cassius Clay/Muhammad Ali'], u'id': u'162659361'}, {u'name': u'Jon Voight', u'characters': [u'Howard Cosell'], u'id': u'162664393'}, {u'name': u'Jamie Foxx', u'characters': [u'Drew `Bundini' Brown'], u'id': u'162652975'}, {u'name': u'Mario Van Peebles', u'characters': [u'Malcolm X'], u'id': u'162654307'}, {u'name': u'Ron Silver', u'characters': [u'Angelo Dundee'], u'id': u'162689324'}]",67,[{u'name': u'Michael Mann'}],[Drama],14265,Ali,2001-12-25,http://api.rottentomatoes.com/api/public/v1.0/movies/14265/reviews.json,0248667,http://www.rottentomatoes.com/m/ali/
51,"[{u'name': u'Mark De Carlo', u'id': u'770914145'}, {u'name': u'Megan Cavanagh', u'characters': [u'Mrs. Neutron'], u'id': u'348555813'}, {u'name': u'Debi Derryberry', u'characters': [u'James 'Jimmy' Isaac Neutron'], u'id': u'162656861'}, {u'name': u'Jeff Garcia', u'characters': [u'Sheen Estevez'], u'id': u'770762286'}, {u'name': u'Bob Goen', u'characters': [u'Male Newscaster'], u'id': u'770696730'}]",75,"[{u'name': u'John Davis'}, {u'name': u'John A. Davis'}]","[Animation, Kids & Family, Science Fiction & Fantasy]",9585,Jimmy Neutron - Boy Genius,2001-12-21,http://api.rottentomatoes.com/api/public/v1.0/movies/9585/reviews.json,0268397,http://www.rottentomatoes.com/m/jimmy_neutron_boy_genius/
56,"[{u'name': u'Chyler Leigh', u'characters': [u'Janey'], u'id': u'162709860'}, {u'name': u'Jaime Pressly', u'characters': [u'Priscilla'], u'id': u'162709861'}, {u'name': u'Chris Evans', u'characters': [u'Jake'], u'id': u'162652784'}, {u'name': u'Mia Kirshner', u'characters': [u'Catherine'], u'id': u'285256263'}, {u'name': u'Eric Christian Olsen', u'characters': [u'Austin'], u'id': u'162673659'}]",28,[{u'name': u'Joel Gallen'}],[Comedy],14614,Not Another Teen Movie,2001-12-14,http://api.rottentomatoes.com/api/public/v1.0/movies/14614/reviews.json,0277371,http://www.rottentomatoes.com/m/not_another_teen_movie/
87,"[{u'name': u'Doug Hutchinson', u'id': u'770680317'}, {u'name': u'Sean Penn', u'characters': [u'Sam Dawson'], u'id': u'162652280'}, {u'name': u'Michelle Pfeiffer', u'characters': [u'Rita Harrison'], u'id': u'162660689'}, {u'name': u'Dakota Fanning', u'characters': [u'Lucy Dawson'], u'id': u'162652764'}, {u'name': u'Dianne Wiest', u'characters': [u'Annie'], u'id': u'162664793'}]",34,[{u'name': u'Jessie Nelson'}],[Drama],10389,I Am Sam,2001-12-28,http://api.rottentomatoes.com/api/public/v1.0/movies/10389/reviews.json,0277027,http://www.rottentomatoes.com/m/i_am_sam/
27,"[{u'name': u'Julia Roberts', u'characters': [u'Francesca'], u'id': u'162659460'}, {u'name': u'Blair Underwood', u'characters': [u'Calvin'], u'id': u'162673989'}, {u'name': u'David Duchovny', u'characters': [u'Gus'], u'id': u'162661591'}, {u'name': u'Nicky Katt', u'characters': [u'Hitler'], u'id': u'180877553'}, {u'name': u'Catherine Keener', u'characters': [u'Lee'], u'id': u'162652281'}]",38,[{u'name': u'Steven Soderbergh'}],"[Drama, Comedy]",243312021,Full Frontal,2002-08-02,http://api.rottentomatoes.com/api/public/v1.0/movies/243312021/reviews.json,0290212,http://www.rottentomatoes.com/m/full_frontal/
27,"[{u'name': u'Julia Roberts', u'characters': [u'Francesca'], u'id': u'162659460'}, {u'name': u'Blair Underwood', u'characters': [u'Calvin'], u'id': u'162673989'}, {u'name': u'David Duchovny', u'characters': [u'Gus'], u'id': u'162661591'}, {u'name': u'Nicky Katt', u'characters': [u'Hitler'], u'id': u'180877553'}, {u'name': u'Catherine Keener', u'characters': [u'Lee'], u'id': u'162652281'}]",38,[{u'name': u'Steven Soderbergh'}],"[Drama, Comedy]",243312021,Full Frontal,2002-08-02,http://api.rottentomatoes.com/api/public/v1.0/movies/243312021/reviews.json,0290212,http://www.rottentomatoes.com/m/full_frontal/
88,"[{u'name': u'Dawa', u'id': u'326394362'}, {u'name': u'Carmela', u'id': u'770686378'}]",-1,[{u'name': u'Jim Hanon'}],"[Documentary, Drama, Special Interest]",10044,Beyond the Gates of Splendor,2002-09-27,http://api.rottentomatoes.com/api/public/v1.0/movies/10044/reviews.json,0337868,http://www.rottentomatoes.com/m/beyond-the-gates-of-splendor/
