,Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink,BoxOffice
0,60,"[{u'name': u'Ice Cube', u'characters': [u'James'], u'id': u'162652332'}, {u'name': u'Kevin Hart', u'characters': [u'Ben'], u'id': u'770671077'}, {u'name': u'John Leguizamo', u'characters': [u'Santiago'], u'id': u'162652698'}, {u'name': u'Bruce McGill', u'characters': [u'Lt. Brooks'], u'id': u'162652571'}, {u'name': u'Tika Sumpter', u'characters': [u'Angela Payton'], u'id': u'771078913'}]",17,[{u'name': u'Tim Story'}],"[u'Action & Adventure', u'Comedy']",771320491,Ride Along,2014-01-17,http://api.rottentomatoes.com/api/public/v1.0/movies/771320491/reviews.json,1408253,http://www.rottentomatoes.com/m/ride_along_2014/,134141530
1,36,"[{u'name': u'Eddie Fernandez', u'id': u'770716445'}, {u'name': u'Tonja Kahlens', u'id': u'771456352'}, {u'name': u'Micah Sloat', u'id': u'770779122'}, {u'name': u'Catherine Toribio', u'id': u'771507618'}, {u'name': u'Andrew Jacobs', u'id': u'770848003'}]",38,[{u'name': u'Christopher Landon'}],[u'Horror'],771364044,Paranormal Activity: The Marked Ones,2014-01-03,http://api.rottentomatoes.com/api/public/v1.0/movies/771364044/reviews.json,2473682,http://www.rottentomatoes.com/m/paranormal_activity_the_marked_ones/,32453345
2,39,"[{u'name': u'Aaron Eckhart', u'characters': [u'Adam'], u'id': u'162668655'}, {u'name': u'Bill Nighy', u'characters': [u'Naberius'], u'id': u'162652300'}, {u'name': u'Yvonne Strahovski', u'characters': [u'Terra'], u'id': u'770790627'}, {u'name': u'Miranda Otto', u'characters': [u'Leonore'], u'id': u'162652765'}, {u'name': u'Jai Courtney', u'characters': [u'Gideon'], u'id': u'771383833'}]",3,[{u'name': u'Stuart Beattie'}],"[u'Horror', u'Mystery & Suspense', u'Science Fiction & Fantasy']",771257268,"I, Frankenstein",2014-01-24,http://api.rottentomatoes.com/api/public/v1.0/movies/771257268/reviews.json,1418377,http://www.rottentomatoes.com/m/i_frankenstein/,19059018
3,54,"[{u'name': u'Chris Pine', u'characters': [u'Jack Ryan'], u'id': u'326393041'}, {u'name': u'Kevin Costner', u'characters': [u'William Harper'], u'id': u'162662350'}, {u'name': u'Kenneth Branagh', u'characters': [u'Viktor Cherevin'], u'id': u'162659680'}, {u'name': u'Peter Andersson', u'characters': [u'Dimitri Lemkov'], u'id': u'326395717'}, {u'name': u'Keira Knightley', u'characters': [u'Cathy Muller'], u'id': u'162654560'}]",56,[{u'name': u'Kenneth Branagh'}],"[u'Drama', u'Action & Adventure', u'Mystery & Suspense']",771314857,Jack Ryan: Shadow Recruit,2014-01-17,http://api.rottentomatoes.com/api/public/v1.0/movies/771314857/reviews.json,1205537,http://www.rottentomatoes.com/m/jack_ryan_shadow_recruit/,50549107
4,61,"[{u'name': u'Kajal Aggarwal', u'id': u'770846908'}, {u'name': u'Mahat Raghavendra', u'id': u'771439917'}, {u'name': u'Mohanlal', u'id': u'335716527'}, {u'name': u'Vijay', u'id': u'770676503'}, {u'name': u'Soori', u'id': u'770676913'}]",-1,"[{u'name': u'R.T. Neason'}, {u'name': u'R T Nesan'}]","[u'Action & Adventure', u'Comedy']",771372079,Jilla,2014-01-09,http://api.rottentomatoes.com/api/public/v1.0/movies/771372079/reviews.json,2678948,http://www.rottentomatoes.com/m/jilla/,230221
5,21,"[{u'name': u'Allison Miller', u'characters': [u'Samantha McCall'], u'id': u'770673402'}, {u'name': u'Robert Belushi', u'characters': [u'Mason'], u'id': u'771071887'}, {u'name': u'Sam Anderson', u'characters': [u'Father Thomas'], u'id': u'770675680'}, {u'name': u'Zach Gilford', u'characters': [u'Zach McCall'], u'id': u'770681835'}, {u'name': u'Colin Walker', u'characters': [u'Stanley'], u'id': u'771446124'}]",18,"[{u'name': u'Radio Silence'}, {u'name': u'Matt Bettinelli-Olpin'}]",[u'Horror'],771355830,Devil's Due,2014-01-17,http://api.rottentomatoes.com/api/public/v1.0/movies/771355830/reviews.json,2752758,http://www.rottentomatoes.com/m/devils_due/,15818967
6,34,"[{u'name': u'Kellan Lutz', u'characters': [u'Hercules'], u'id': u'770685152'}, {u'name': u'Liam McIntyre', u'characters': [u'Sotiris'], u'id': u'771395286'}, {u'name': u'Scott Adkins', u'characters': [u'King Amphitryon'], u'id': u'770704326'}, {u'name': u'Liam Garrigan', u'characters': [u'Iphicles'], u'id': u'770802549'}, {u'name': u'Johnathon Schaech', u'characters': [u'Tarak'], u'id': u'364606705'}]",3,[{u'name': u'Renny Harlin'}],"[u'Action & Adventure', u'Science Fiction & Fantasy']",771349768,The Legend of Hercules,2014-01-10,http://api.rottentomatoes.com/api/public/v1.0/movies/771349768/reviews.json,1043726,http://www.rottentomatoes.com/m/the_legend_of_hercules/,18821279
7,66,"[{u'name': u'Zach Braff', u'characters': [u'Aidan'], u'id': u'162655018'}, {u'name': u'Kate Hudson', u'characters': [u'Sarah'], u'id': u'162653218'}, {u'name': u'Mandy Patinkin', u'characters': [u'Gabe'], u'id': u'162673967'}, {u'name': u'Josh Gad', u'characters': [u'Noah'], u'id': u'770683794'}, {u'name': u'Joey King', u'characters': [u'Grace'], u'id': u'770694775'}]",46,[{u'name': u'Zach Braff'}],"[u'Drama', u'Comedy']",771357153,Wish I Was Here,2014-07-18,http://api.rottentomatoes.com/api/public/v1.0/movies/771357153/reviews.json,2870708,http://www.rottentomatoes.com/m/wish_i_was_here/,3054075
8,39,"[{u'name': u'Ryan Kwanten', u'characters': [u'Joe'], u'id': u'356196877'}, {u'name': u'Peter Dinklage', u'characters': [u'Hung'], u'id': u'162653586'}, {u'name': u'Summer Glau', u'characters': [u'Gwen'], u'id': u'162654270'}, {u'name': u'Steve Zahn', u'characters': [u'Eric'], u'id': u'162652352'}, {u'name': u'Margarita Levieva', u'characters': [u'Beth'], u'id': u'748169809'}]",55,[{u'name': u'Joe Lynch'}],"[u'Action & Adventure', u'Horror', u'Science Fiction & Fantasy', u'Comedy']",771249148,Knights of Badassdom,2014-01-21,http://api.rottentomatoes.com/api/public/v1.0/movies/771249148/reviews.json,1545660,http://www.rottentomatoes.com/m/knights_of_badassdom/,68680
10,87,"[{u'name': u'Will Ferrell', u'characters': [u'President Business'], u'id': u'162652185'}, {u'name': u'Craig Berry', u'characters': [u'Blake'], u'id': u'771478618'}, {u'name': u'Amanda Farinos', u'characters': [u'Mom'], u'id': u'771478619'}, {u'name': u'Keith Ferguson', u'characters': [u'Han Solo'], u'id': u'770744045'}, {u'name': u'Orville Forte', u'characters': [u'Abraham Lincoln'], u'id': u'771478620'}]",96,"[{u'name': u'Phil Lord'}, {u'name': u'Christopher Miller'}]","[u'Action & Adventure', u'Animation', u'Kids & Family', u'Comedy']",771305753,The LEGO Movie,2014-02-07,http://api.rottentomatoes.com/api/public/v1.0/movies/771305753/reviews.json,1490017,http://www.rottentomatoes.com/m/the_lego_movie/,257716507
