Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
74,"[{u'name': u'Rhonda Le Beck', u'id': u'771587996'}, {u'name': u'Kevin Bacon', u'characters': [u'Valentine McKee'], u'id': u'162654658'}, {u'name': u'Fred Ward', u'characters': [u'Earl Basset'], u'id': u'162667867'}, {u'name': u'Finn Carter', u'characters': [u'Rhonda LeBeck'], u'id': u'770670921'}, {u'name': u'Reba McEntire', u'characters': [u'Heather Gummer'], u'id': u'364624824'}]",84,[{u'name': u'Ron Underwood'}],"[Horror, Comedy]",10408,Tremors,1990-01-19,http://api.rottentomatoes.com/api/public/v1.0/movies/10408/reviews.json,0100814,http://www.rottentomatoes.com/m/tremors/
55,"[{u'name': u'Martin Mull', u'characters': [u'Maris'], u'id': u'359854282'}, {u'name': u'Roger Rose', u'characters': [u'Jerry'], u'id': u'493165795'}, {u'name': u'Corby Timbrook', u'characters': [u'Lance'], u'id': u'770721196'}, {u'name': u'T.K. Carter', u'characters': [u'Iceman'], u'id': u'335715892'}, {u'name': u'Yvette Nipar', u'characters': [u'Ellen'], u'id': u'343319513'}]",-1,"[{u'name': u'Richard Correll'}, {u'name': u'Rich Correll'}]","[Action & Adventure, Comedy]",493165792,Ski Patrol,1990-01-12,http://api.rottentomatoes.com/api/public/v1.0/movies/493165792/reviews.json,0100631,http://www.rottentomatoes.com/m/ski_patrol/
30,"[{u'name': u'Forest Whitaker', u'characters': [u'Dennis Curren'], u'id': u'162662640'}, {u'name': u'Anthony Edwards', u'characters': [u'Alex Kearney'], u'id': u'162667541'}, {u'name': u'Penelope Ann Miller', u'characters': [u'Lori Mitchell'], u'id': u'162663545'}, {u'name': u'Joe Pantoliano', u'characters': [u'White'], u'id': u'162686963'}, {u'name': u'David Clennon', u'characters': [u'Jerome Sweet'], u'id': u'381422006'}]",-1,[{u'name': u'Richard Benjamin'}],"[Drama, Mystery & Suspense, Comedy]",15885,Downtown,1990-01-12,http://api.rottentomatoes.com/api/public/v1.0/movies/15885/reviews.json,0099460,http://www.rottentomatoes.com/m/downtown/
72,"[{u'name': u'Susanne Betz', u'id': u'770673557'}, {u'name': u'Jorg Buttgereit', u'id': u'224931181'}, {u'name': u'Heinrich Ebber', u'id': u'770673558'}, {u'name': u'Hermann Kopp', u'id': u'770836980'}, {u'name': u'Nicholas Petche', u'id': u'770836981'}]",-1,[{u'name': u'Jorg Buttgereit'}],"[Drama, Horror, Art House & International]",770671763,Der Todesking (The Death King),1990-01-25,http://api.rottentomatoes.com/api/public/v1.0/movies/770671763/reviews.json,0098486,http://www.rottentomatoes.com/m/der-todesking-the-death-king/
50,"[{u'name': u'Michael Caine', u'characters': [u'Dr. Henry Jekyll/Mr. Edward Hyde'], u'id': u'162652646'}, {u'name': u'Cheryl Ladd', u'characters': [u'Sara Crawford'], u'id': u'162674678'}, {u'name': u'Joss Ackland', u'characters': [u'Dr. Charles Lanyon'], u'id': u'162668735'}, {u'name': u'Ronald Pickup', u'characters': [u'Jeffrey Utterson'], u'id': u'770696925'}, {u'name': u'Lionel Jeffries', u'characters': [u'Mr. Jekyll'], u'id': u'162655764'}]",-1,[{u'name': u'David Wickes'}],"[Drama, Television, Horror, Mystery & Suspense]",770676816,Jekyll & Hyde,1990-01-21,http://api.rottentomatoes.com/api/public/v1.0/movies/770676816/reviews.json,0099875,http://www.rottentomatoes.com/m/jekyll-hyde1990/
16,"[{u'name': u'Nick Nolte', u'characters': [u'Tom O'Toole'], u'id': u'162667604'}, {u'name': u'Debra Winger', u'characters': [u'Angela Crispini'], u'id': u'162664327'}, {u'name': u'Will Patton', u'characters': [u'Jerry'], u'id': u'162690561'}, {u'name': u'Kathleen Wilhoite', u'characters': [u'Amy'], u'id': u'280186516'}, {u'name': u'Jack Warden', u'characters': [u'Murdoch'], u'id': u'162697069'}]",17,[{u'name': u'Karel Reisz'}],"[Mystery & Suspense, Drama]",723647,Everybody Wins,1990-01-19,http://api.rottentomatoes.com/api/public/v1.0/movies/723647/reviews.json,0099520,http://www.rottentomatoes.com/m/everybody_wins/
89,"[{u'name': u'Jaques Taylor', u'id': u'771607083'}, {u'name': u'Ben Lang', u'characters': [u'Leo'], u'id': u'770702709'}, {u'name': u'Maxine Woods', u'characters': [u'Kay'], u'id': u'770702710'}, {u'name': u'Henry Nemo', u'characters': [u'Max'], u'id': u'770702711'}, {u'name': u'Joan Leslie', u'characters': [u'Irene'], u'id': u'364613176'}]",100,[{u'name': u'Michael Roemer'}],[Comedy],770685004,The Plot Against Harry,1989-09-13,http://api.rottentomatoes.com/api/public/v1.0/movies/770685004/reviews.json,0064820,http://www.rottentomatoes.com/m/the-plot-against-harry/
100,"[{u'name': u'Kathleen Lasky', u'id': u'770784358'}, {u'name': u'Wayne Robson', u'characters': [u'Janitor'], u'id': u'404298724'}, {u'name': u'Ron White', u'characters': [u'Officer Fred'], u'id': u'162659617'}, {u'name': u'Kathleen  Laskey', u'characters': [u'Brenda'], u'id': u'364647875'}, {u'name': u'Deirdre Bowen', u'id': u'770924971'}]",-1,[{u'name': u'Steven Hilliard'}],"[Mystery & Suspense, Horror]",770738871,Love And Murder,1991-06-01,http://api.rottentomatoes.com/api/public/v1.0/movies/770738871/reviews.json,0104763,http://www.rottentomatoes.com/m/love_and_murder/
80,"[{u'name': u'Jimmy Dean', u'id': u'364600207'}, {u'name': u'Jack Elam', u'id': u'364597415'}, {u'name': u'Ned Beatty', u'id': u'162672460'}, {u'name': u'Romy Windsor', u'characters': [u'Marie Mitchelle'], u'id': u'770677014'}, {u'name': u'Bo Hopkins', u'id': u'162680573'}]",-1,[{u'name': u'Burt Kennedy'}],"[Western, Drama, Action & Adventure]",75553849,Big Bad John,1990-12-31,http://api.rottentomatoes.com/api/public/v1.0/movies/75553849/reviews.json,0099134,http://www.rottentomatoes.com/m/big_bad_john/
55,"[{u'name': u'Keith Vitali', u'characters': [u'Casey Alexander'], u'id': u'285545466'}, {u'name': u'Loren Avedon', u'characters': [u'Will Alexander'], u'id': u'575766873'}, {u'name': u'Joseph Campanella', u'characters': [u'John Alexander'], u'id': u'718584386'}, {u'name': u'Wanda Acuna', u'characters': [u'Maria'], u'id': u'770818457'}, {u'name': u'Luke Askew', u'characters': [u'Atteron'], u'id': u'162678027'}]",-1,[{u'name': u'Lucas Lowe'}],[Action & Adventure],718584383,"No Retreat, No Surrender 3: Blood Brothers (Karate Tiger 3)",1990-01-25,http://api.rottentomatoes.com/api/public/v1.0/movies/718584383/reviews.json,0100266,http://www.rottentomatoes.com/m/no_retreat_no_surrender_3_blood_brothers/
